sn,object type,object,time,Capacity usage(%),Mapped LUN capacity(MB),Total capacity(MB),Used capacity(MB),array_num
20231121131110,Array,System,2022-11-22 00:00:00,18.29298547141423,,3619711450.449219,662153289.737793,Array2
20231121131110,Array,System,2022-11-23 00:00:00,18.3498539520501,,3619711450.449219,664211764.643066,Array2
20231121131110,Array,System,2022-11-24 00:00:00,18.42443407669481,,3619711450.449219,666911349.95459,Array2
20231121131110,Array,System,2022-11-25 00:00:00,18.982969091906643,,3619711450.449219,687128705.854981,Array2
20231121131110,Array,System,2022-11-26 00:00:00,19.00655559790811,,3619711450.449219,687982469.313477,Array2
20231121131110,Array,System,2022-11-27 00:00:00,19.014968190225225,,3619711450.449219,688286980.880859,Array2
20231121131110,Array,System,2022-11-28 00:00:00,19.0234836628618,,3619711450.449219,688595216.418945,Array2
20231121131110,Array,System,2022-11-29 00:00:00,19.409652564028196,,3619711450.449219,702573416.352539,Array2
20231121131110,Array,System,2022-11-30 00:00:00,20.022069201657885,,3619711450.449219,724741131.509277,Array2
20231121131110,Array,System,2022-12-01 00:00:00,20.215352189990607,,3619711450.449219,731737417.969727,Array2
20231121131110,Array,System,2022-12-02 00:00:00,20.22926905497733,,3619711450.449219,732241168.325195,Array2
20231121131110,Array,System,2022-12-03 00:00:00,20.304783859966268,,3619711450.449219,734974586.368164,Array2
20231121131110,Array,System,2022-12-04 00:00:00,20.320791316276967,,3619711450.449219,735554010.097168,Array2
20231121131110,Array,System,2022-12-05 00:00:00,20.37147112288054,,3619711450.449219,737388472.859863,Array2
20231121131110,Array,System,2022-12-06 00:00:00,20.42084522731627,,3619711450.449219,739175672.97168,Array2
20231121131110,Array,System,2022-12-07 00:00:00,20.578091993194104,,3619711450.449219,744867552.161621,Array2
20231121131110,Array,System,2022-12-08 00:00:00,20.693328105601417,,3619711450.449219,749038766.917481,Array2
20231121131110,Array,System,2022-12-09 00:00:00,21.658000473109123,,3619711450.449219,783957123.063477,Array2
20231121131110,Array,System,2022-12-10 00:00:00,22.063500283394596,,3619711450.449219,798635046.12793,Array2
20231121131110,Array,System,2022-12-11 00:00:00,22.16362551076249,,3619711450.449219,802259290.447754,Array2
20231121131110,Array,System,2022-12-12 00:00:00,22.24796686630681,,3619711450.449219,805312204.151856,Array2
20231121131110,Array,System,2022-12-13 00:00:00,22.634523349124237,,3619711450.449219,819304433.422852,Array2
20231121131110,Array,System,2022-12-14 00:00:00,22.80231395264657,,3619711450.449219,825377969.111328,Array2
20231121131110,Array,System,2022-12-15 00:00:00,22.82366696139646,,3619711450.449219,826150886.414063,Array2
20231121131110,Array,System,2022-12-16 00:00:00,23.38453819664885,,3619711450.449219,846452806.73877,Array2
20231121131110,Array,System,2022-12-17 00:00:00,24.79191949741226,,3619711450.449219,897395948.833984,Array2
20231121131110,Array,System,2022-12-18 00:00:00,25.41772873341972,,3619711450.449219,920048437.407715,Array2
20231121131110,Array,System,2022-12-19 00:00:00,25.736127245367097,,3619711450.449219,931573544.802734,Array2
20231121131110,Array,System,2022-12-20 00:00:00,25.892119248519787,,3619711450.449219,937220005.202637,Array2
20231121131110,Array,System,2022-12-21 00:00:00,26.17480081504267,,3619711450.449219,947452262.234375,Array2
20231121131239,Array,System,2023-10-29 00:00:00,52.00048338083694,,3619711450.449219,1882267451.225098,Array3
20231121131239,Array,System,2022-12-02 00:00:00,36.73491994102007,,3619711450.449219,1329698103.418457,Array3
